comment_text,Matches_isin_str
"Keiner sagt doch das Stadien ausverkauft sein sollen, aber in geringem Maße Zuschauer zuzulassen ist doch völlig okay!","olle, ollen"
"@USER völlig richtig - und die Rücksicht, die wir auf einander nehmen, tut unserer Gesellschaft gut, auch wenn andere das wenig interessiert",esel
"@USER es wird viel ""gewollt"" (aber nur wenn es nicht einschränkt) https://www.morgenpost.de/politik/article213215847/Junge-Deutsche-wollen-nachhaltig-leben-tun-aber-wenig-dafuer.html","olle, ollen"
"@USER Im Gegenteil, wenn man das Opfer rausfliegen lassen hat, ist das wohl beabsichtigt, dass wir uns hier die Köpfe heiß diskutieren und nach innen an alle politischen Oppositionellen passt auf sonst müsst ihr leiden. Es ist eine sehr effiziente Methode der Drohung. Mord im Verborgenen bekommt ja niemand mit.","mord, opfer"
@USER haben viele andere Krankheiten auch! Habe mich noch nie gegen Grippe impfen lassen. Gesunde Ernährung und ein gutes Immunsystem ist unser bester Schutz!,krank
"Die Deutsche Politik sollte endlich einsehen, dass man mit Sanktionen, Zurechtweisungen udnd Besserwisserei wenig oder gar nichts erreichen kann. Am besten helfen persönliche Gespräche und gemeinsame Projekte und Erlebnisse. Schröder sollte als Sonderbotschafter vermittelnd tätig werden und sich für ein gutes deutschrussisches Verhältnis einsetzen..",besserwisser
"@USER ja das sehen wir so, Krankenversicherung ist wohl gerade jetzt das größte Thema. Die meisten konservativen Amerikaner sagen, es liegt alles in der Eigenverantwortung eines jeden Menschen für diese Dinge vorzusorgen. Den betreuenden Staat a la Europa will man nicht. Ja und Militär hat in der Gesellschaft eine hohe Stellung... alles etwas anders als in Europa","esel, krank, kranke"
"@MEDIUM Die Entwicklungen in den USA sind für uns alle evident, nicht nur für uns deutsche Bürger. Trump‘s Verhalten stärkt nicht nur in den USA die rechten Ränder, sondern auch bei uns. Deutschland/Europa muss aufpassen, nicht zu sehr in diesen Sog gezogen zu werden. Unsere Regierungen müssen sich klar gegen die Politik Trumps wenden, wenn es um die Zukunft der NATO und der UN geht. Trump steht für Rassismus, Klassenkampf, Frauenfeindlichkeit, Homophobie und Umweltverschmutzung. All das geht letztendlich auch mich an.","alte, assi, feind, frauenfeindlich, homo, homophob, rassismus, schmutz"
"Ich hoffe und wünsche mir, daß Joe Biden der neue Präsident wird, aber nicht weil Biden so stark ist, sondern weil ich eine 2 Amtszeit von Trump für unerträglich halte. Hat ein 300 Millionen Volk keine bessere Wahl als diese zwei? Weinberg passt genau in das Bild was Trump und Amerika zur Zeit abgibt.","alte, unerträglich"
wir können das klima nicht ändern. ... nur weiter versauen,sau
"Es glaubt doch niemand, wenn Putin Menschen vergiften wollte, das er es so fehlerhaft machen würde. Das würde kein Mensch erfahren,wenn er wirklich jemand verschwinden lassen will.Was mischt sich die Merkel schon wieder ein?",verschwinden
"Schade das man in der Sendung oft über andere Ärzte, Professoren und deren Meinung redet und manchmal auch ins lächerliche zieht. Warum hat man z.B. in der gestrigen Sendung Herrn Prof. Bhakdi nicht eingeladen? Hat man es überhaupt versucht? Der Name Dr. Wolfgang Wogard viel glaube ich noch nie in der Sendung. Aber sicherlich kennen Ihn viele unter den bisherigen Gästen....warum ladet man ihn nicht Mal in die Sendung ein?","lächerlich, lächerliche"
"Das Problem ist das Zwei-Parteien-System. Kaum Gestaltungsspielraum für Kompromisse und/oder frischen Wind. Es geht oftmals nur darum sich massiv von der anderen Seite zu unterscheiden. Das Zwei-Parteien-System trägt ebenfalls zur Spaltung bei, da es keine weitere Option gibt.",assi
Wir wollen Zölle auf Chinesisches Zement erheben?! Euer Ernst🥴 Die haben gerade ein Freihandelsabkommen mit 1/3 der Weltbevölkerung abgeschlossen. Die werden einfach nur lachen über unsere Zölle.,"olle, ollen"
@USER Blödsinn. Das hat etwas mit Anstand zu tun.,"blöd, blödsinn"
"@USER hast du diese Problematik schon irgend in einer Diskussion gehört? Da bist du Kindefeind-Menschenfeind es gibt wissenschaftliche Erkenntnisse,dass der Verzicht auf ein Kind ökologisch für den Planeten nachhaltiger ist als alles andere ...auf Zukunft gesehen irgend wie logisch ,oder..??",feind
@USER wo habe ich dagegen geschossen? wo sind denn ihre Argumente?,geschossen
"Herr Spenner Sie haben mit Ihrer o.g. Aussage an und für sich völlig recht. Allerdings ist unser aktueller Wohlstand ein Produkt jahrzehntelanger Ignoranz auf die Folgen des Klimawandels. Wenn wir so weitermachen wie bisher, dann gibt es in Zukunft (spätestens ab 3 Grad mehr Erderwärmung) keinen sozialen Frieden, keine funktionierende Wirtschaft und auch keine Arbeitsplätze mehr. Der Weltklimarat (IPCC) hat errechnet, dass Deutschland nur noch ein Budget von ca. 5,5 Mrd. Tonnen CO² verbrauchen darf, damit wir das 1,5 Grad Ziel des Pariser Klimaschutzabkommens halten können. Das bedeutet bei einem aktuellen Jahresausstoß von rund 800 Mio Tonnen CO² für Deutschland: Ende 2026 müssen wir Klimaneutral sein... Bitte um Ihre konkreten Vorschläge wie wir dieses sehr ambitionierte Ziel noch schaffen können.","affe, affen, alte, ignoranz, penner, sau, sozi"
"Sicher wird jeder Impfwillige vor der Impfung unterschreiben müssen, dass Schadenersatz bei eventuellen Nebenwirkungen oder Folgeschäden durch die Impfung ausgeschlossen ist! Oder gibt es dafür auch schon Pläne für ein Hilfspaket?","pak, schaden"
@USER Die nächste Eiszeit kommt. Derzeit leben wir in einer Zwischenwarmzeit. Durchaus seriöse Wissenschaftler halten ein schnelles Abreisen des Golfstroms für sehr wahrscheinlich.,"abreisen, alte"
"Bitte den mal fragen, warum Recycling-Kies nicht zum Bauen verwendet werden darf. Hintergrund: https://www.planet-wissen.de/technik/werkstoffe/beton_der_formbare_stein/beton-baustoff-100.html#Umwelteffekte ""Am Ende bleiben Recyclingsteine über. Diese müssen für den Hausbau mindestens einen Durchmesser von zwei Millimetern haben. Der Recyclingsand, der beim Schreddern übrig bleibt, darf in Gebäuden nicht verbaut werden. Er gilt als zu unrein und weniger belastbar als natürlicher Sand. Doch wie belastbar sind die Recyclingsteine? Recyclingsteine durchlaufen eine Qualitätsprüfung In einem Prüflabor müssen die Recycling-Steine ihre Qualität unter Beweis stellen. Für die Baustoffprüfung wird eine Probe der Steine in ihre Bestandteile zerlegt. Weil es dafür keine Maschine gibt, geschieht das per Hand. Die Sortierung zeigt, ob die zulässigen Grenzwerte für Fremdmaterialien eingehalten werden, oder ob zum Beispiel zu viel Glas, Ziegel oder Asphalt in der Mischung steckt. Dann wäre die Festigkeit gefährdet. Bei einem anderen Test kommt die komplette Gesteinsprobe in einen Siebturm. Er trennt die verschiedenen Steingrößen voneinander. Denn eine stabile Verbindung in der Betonmischung entsteht nur, wenn von jeder Größe ausreichend Steine vorhanden sind. Wie gut Recyclingbeton ist, hat die Baustoff-Expertin Angelika Mettke mehrfach prüfen lassen. Ihr Resümee: ""Recyclingbeton hat die gleiche Qualität wie normaler Beton."" Er sei absolut gleichwertig. ""Da gibt es überhaupt keine Einschränkung"", urteilt die Professorin der Brandenburgischen Technischen Universität Cottbus-Senftenberg.""","alte, messer"
"Pest oder Cholera. Biden ist halt sympathischer. Bin froh, wenn die Trumpshow vorbei ist",pest
"Sorry, welchen Mut macht der denn? Mit denjenigen die keine Krankenversicherung und kein Geld für eine Behandlung haben, das ihr Tod zügig kommt? So kann man es auch sehen. Vielleicht betet er Covid 19 auch weg aber in erster Linie betet er für seine Kohle wohlgemerkt sein Geld.","krank, kranke"
"@MEDIUM Da diese Wahl weltweit Beachtung findet, eine Wahlbeteiligung auf Rekordniveau erreicht und weltweit Auswirkungen haben wird, blicke ich gespannt nach Amerika. Dass nach der Wahl Unruhen zu erwarten sind, im Vorfeld Geschäfte gesichert werden müssen, Trump genau diese Unruhen immer wieder befeuert, macht diese Wahl so einmalig. Amerikanische Demokratie, in der einem Gewinner gratuliert wird und der Verlierer unter den Gratulanten ist und seine Niederlage anerkennt, war ganz offensichtlich gestern. Wann genau gab es schonmal eine Wahl, die dermaßen in die tägliche Berichterstattung kam und auf deren Ausgang so viele geblickt haben. Traurige Entwicklung im Mutterland der Demokratie. 😔","mutter, verlierer, 😔"
Die Clinton lag auch damals in den Umfragen vorne und war schon im Weißen Haus am Kaffee Kochen wenn man damals die Medien verfolgt hat.,affe
"@USER - hab ich doch schon vorher gesagt und gar nicht eingeschaltet. Bei diesem Typ kommt nichts anderes raus, der ist doch nur das Echo von tRump.",alte
"@MEDIUM, ich habe nicht den Titel der Sendung mit Nazi-Propaganda verglichen, sondern die einseitig eingeladenen Meinungen. Der Sendungstitel spricht für sich.","nazi, nazi-propaganda, propaganda"
Ich glaube der Palmer nimmt sich viel zu wichtig. Weil er sich impfen lässt sollen ihn andere folgen? Was ist wenn er morgen von einer Brücke springt.......🤔😏,"olle, ollen"
"Dear citizens of the USA, please save the world from hate and vote for Biden Harris. Or do you really want to live in a fascist theocracy? https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DiKuc4eaFDNY%26feature%3Dshare&h=AT0F9qLKsbe8AkvTgjgWTFkzUJk7VBdglC4R44ysJYldwi3fLWLyb47Kz2rHl37w1F3mOccMVCASsxJS13XNfdMaMDIHH99M9swCBGLagE-Gkkj7dDnoJoJBhGFPd_sJojQUeScv7EgkhWUrsmYL&s=1",wtf
nun wir leben in einem coronaparadoxum. wir haben vieles richtig gemacht und wohl deshalb auch so wenig probleme aber weil das eben so ist fangen immer mehr leute an zu denken es wurde übertrieben oder noch schlimmer wir wurden angelogen. ich sage warten wir jetzt erstmal die kalten jahreszeiten ab und hoffen wir dass es bleibt wie es ist und wir dann immer noch so wenige schwere fälle oder todesfälle haben werden,"alte, gelogen, schlimm"
"und mit einer gewissen Altpartei im Gleichschritt. Versucht doch mal Dinge länger zu benutzen oder etwas zu reparieren und auf etwas zu verzichten, kleiner Schritt aber ein erster",altpartei
".....mit Einschränkungen, die bei uns nicht möglich sind. Bestes Beispiel, die Corona App, das Gute fwurde durch übertriebenen Datenschutz verhindert, abgesehen davon, dass die Corona Leugner, Impfgegner etc. eine zu große Plattform erhalten haben und letztlich unsere Politiker sich eher profilieren wollen. z.B. Lindner.","alte, olle, ollen"
"Wäre es nicht sinnvoll als Indikator bzw. als Trigger die Belegzahlen in den Krankenhäuser heranzuziehen, anstatt 50/100000? Würde doch den aktuellen Zahlen und den Auswirkungen eher gerecht werden!?","krank, kranke"
"Mich hat gefreut, dass die Teilnehmer dieser Runde zumindest ehrlich waren, was die Risiken der Impfung angeht! Ich werde sicher nicht in der ersten Reihe stehen, wenn diese Aktion losgeht! Erst einmal beobachten, was passiert!",assi
"Unter dem Deckmantel von Corona,Nawalny,Regime Change.Findet der Aufmarsch von US-Militär in Georgien und Natomanöver an der polnisch-russischen Grenze statt.",arsch
"...liebe Carla Reemtsma...haben Sie Ideen, wie unsere Wirtschaft überhaupt noch funktionieren kann...wie sollen wir noch unsere Energie bezahlen, während diese von uns ins Ausland verschleudert wird...","olle, ollen"
"Ich erlebe Kinder, die den Erwachsenen vormachen, wie es geht- und immer wieder neue kreative Lösungen finden für den Umgang mit der Situation. Starke Eltern, fördern ihre Kinder und klären sie über die wichtigen Maßnahmen auf, ohne ihre eigene Angst auf sie zu übertragen. Das gibt starke, reselienzfähige Kinder. Traut den Kindern und Jugendlichen zu, diese Krise zu meistern und sie werden euch überraschen.",esel
"@USER Klasse - Sie sprechen mir aus der Seele - immer nur über andere meckern und selbst alles aussitzen und sich es im Amt bequem machen - die bekommen nicht mal einen Parteitag hin - angeblich wegen Corona aber in die Kirche dürfen die Menschen beten gehen. Hier schadet man der Wirtschaft - den Kindern, den Künstlern und den Alten mit diesen überzogenen Maßnahmen - vorige Woche beschlossen und heute erst umgesetzt - da kann es doch schlimm nicht sen. Den Zahlen traue ich nicht weil viele Experten sagen, dass diese Tests falsch Positive anzeigen. Hier wird nur Angst geschürt und das ist für keinen gut. Trump ist richtig, er verschafft Zuversicht und Hoffnung - bei uns wird man dumm geredet mit Corona - das Virus wird es immer geben und jeder kann sich selbst schützen da braucht man keine Gebrauchsanleitung und Vorschriften von der Regierung.","alte, dumm, schlimm"
Nur weil man einen Transportweg hat muss man noch Abhängigkeit schaffen. Jedoch löst man sich ein wenig von der amerikanischen Abhängigkeit. Angebot und Nachfrage. Wir kaufen billiger egal von wo es kommt.,"affe, affen"
"Alle die hier den Lachsmiley drücken sind sicherlich damit einverstanden ihren Beatmungsplatz freiwillig zu räumen. Für den Fall, dass Triage greift und ein alter Mensch ansonsten keine Chance auf den Platz hätte, obwohl er noch an seinem Leben hängt.","alte, alter"
"wie hatten auch sehr viele Sorgen ,aber waren positive, das alles gut wird, hier hat man ,das Gefühl, von den jungen Leuten, das die Welt untergeht. Mehr Familie ist nicht schlecht,mehr Liebe und Verständnis .Egoisten sind hier fehl am Platz. Die Natur wird es richten hoffe ich.",egoisten
"Wir sollten den Klimawandel nicht nur über den Zeitraum der letzten 200 Jahre betrachten, sondern viel länger zurück gehen. Dann würden wir feststellen, dass sich das Klima in den letzten Jahrmillionen immer wieder zum Teil drastisch geändert, obwohl es nur wenige Humanoiden gab und die Industrialisierung noch mehrer Millionen Jahre in der Zukunft lag. Der Aktionsmus, der seit Fukushima stattfindet ist geradezu absurd. Klimaschutz beginnt bei jedem persönlich zuhause und im Alltagsverhalten. Zudem müsste es für gewerbliche Energieverschwender endlich mal Konsequenzen geben. Ein Energieaudit ohne Folgen ist politischer Schwachsinn, wie sovieles was im Zusammenhang mit Klimaschutzmaßnahmen im blinden Aktionsmus endet. Ich habe vor über 20 Jahren für die Firma ista-Energie-Controlling gearbeitet. Leider wurde unsere Arbeit belächelt und aufgrund nicht vorhandener Notwendigkeit und staatlicher Unterstützung eingestellt.","alte, schwachsinn, troll"
"Da hat er nicht unrecht. Das Ding dabei ist, dass diese Form von Sozialismus offensichtlich nicht verkehrt ist (Beispiel Deutschland und Skandinavien)",sozi
"Die Diskussion ist gut und wichtig, aber wir sollten bei allem Fanatismus und aller Euphorie für die Sache nicht vergessen, dass wir auch ein funktionierendes Leben aufrecht erhalten müssen. Menschen mit viel Geld oder junge Menschen mit noch niedrigem Lebensstatus haben es einfacher, neuen Idealen zu folgen und sich einzulassen. Aber eine Familie mit 2 Kindern, die auf dem Land wohnt; die Schule, der Arbeitsplatz, soziale und medizinische Einrichtungen nur mit Auto, Bus oder Bahn erreicht werden kann; denen sagen sie einmal, dass das Auto jetzt das Doppelte oder Dreifache, der Sprit jetzt 10 € pro Liter, der Strom 5€ pro Kilowattstunde und die Monatskarte 500 € kostet, weil alles schnell umgestellt werden muss. Damit zerstören sie komplett das soziale Gefüge. Eine systematische und langsame aber keine sprunghafte Anpassung kann nur der richtige Weg sein. Also alle Jaenickes, Reemtsmas und wie sie noch heißen; Eure Gesinnung und Euer Einsatz für die Sache ehrt Euch, aber vergesst nicht die Menschen, die Euch folgen müssen aber nicht können. Mit großem Respekt @USER","alte, bah, fanatismus, sozi"
"Einerseits werden die Virologen nicht müde zu behaupten das draußen deutlich weniger Ansteckungsgefahr besteht(keine Aerosolwolken) andererseits wird heute bei @MEDIUM"" bestimmt wieder der Fußball gegen Schulen und Kindergärten ausgespielt. Ich war am Samstag bei einem 2.Ligaspiel im Stadion. Die ganze Zeit mit Maske und es wurden was viele Fans bedauern nur Sitzplätze mit ausreichendem Abstand zu den neben mir positionierten Zuschauern verkauft. Da nur 1700 Zuschauer im 17.000er Stadion zugelassen waren kam es beim Eingang und am Ausgang zu keinen ""Staus"". Ich gehöre vom Alter bereits zur Risikogruppe und ich habe bei einem guten Hygienekonzept keine Bedenken ins Stadion zu gehen.","alte, alter"
"Warum interessiert uns, das in Russland ein Sack Reis umgekippt ist!?🤔",sack
Die grünen wollen immer mit dem Fahrrad kommen .,"olle, ollen"
"@USER ok. Das war mir tatsächlich nicht bewusst und ich habe es immer so verstanden, dass man damit die Frau sichtbar machen möchte, weil es sonst immer z. B. Kollegen heißt und das männlich ist und Frauen dabei nicht berücksichtigt werden. Dann steht die eigenartig anmutende Pause beim Sprechen also für Diverse?",olle
"Na ja, Herr Weinbergs Beitrag war wie immer unnötig ! Klar gibt es in den USA exzellente Ärzte, nur die wenigsten Amerikaner können sie sich leisten. Herr Röttgen reagiert auch als Christ nicht aus ""christlicher Vorsehung"" wie angeblich Trump....Weinbergs Vergleiche sind manchmal schon sehr, na ja, sagen wir es vorsichtig...naiv...",naiv
"Haben die Amerikaner keine jüngeren Präsidentenkandidaten, beide Kandidaten werden nach meiner Prognose Ihre Amtszeit nicht überleben, beide sehen sehr zerbrechlich aus, nichts gegen Ältere Menschen, dennoch die Präsidenten müssen viel Reisen haben viel Streß, das halten die doch nicht aus, auch Frau Merkel hat vor paar Monaten wie verrückt gezittert, danach nicht mehr, sie sieht auch nicht mehr gesund aus.",alte
Mein Gefühl sagt mir dass sich die Bürger der USA entweder für Flöhe oder Läuse entscheiden müssen..beide Kandidaten sind im fortgeschrittenen Alter und mit zweifelhaften Vergangenheit behaftet.,"alte, alter"
"Frau ""Blaerbock"" in ihrem Element. Fehlt nur noch eine Horde ""Kobolde""!","bla, horde"
"Vertreter des ""Gestern"" sind die grünen Pharisäer, die andere zum Verzicht auffordern und selbst nicht verzichten, da sie wichtig sind oder keine Lust haben. Ein besonders schlimmes Beispiel ist der Herr Jaenicke, der heute Gast ist. Warum argumentiert keiner mehr gegen grünen Schwachsinn und grünes Pharisäertum? Auch die Zigaretten-Aktivistin glaubt, sie habe kein Einfluss. Und müsse daher selbst nichts tun. Es sind immer die anderen.","pharisäer, schlimm, schwachsinn"
"und ich ergänze - ja, auch ich will verreisen, auch ich bin kreuzunglücklich, dass ich nicht feiern kann, ja auch ich will meine sozialen Beziehungen vis à vis pflegen können usw. Nur weil man nicht mehr zur Jugend gehört, heißt es nicht, dass einem die Einschränkungen nichts ausmachen! also ehrlich @MEDIUM, ich hätte Euch für klüger gehalten, als dass ihr hier wieder Lager spaltet!","alte, lüge, sozi"
"Tja, mit Ideologie wird es kalt und dunkel hier! 🤦‍♀️",🤦‍
"Liebes Team von „@MEDIUM“, jung bin ich nicht mehr, mein Abitur liegt 20 Jahre zurück (😱), aber ich wage zu behaupten, dass die ökonomischen und Psycho-sozialen Folgen, die auch und insbesondere die Jungen, wie auch meine und ihre Kinder einst werden tragen müssen, weit schwerer wiegen als die von Ihnen angesprochenen Punkte des entfallenen Abiballs, der ausgefallenen Reise. Was mir noch nicht klar ist: werden die jungen Menschen heutzutage einfach nur behandelt als wären sie ein bisschen „beschränkt“ und zu „dämlich“ das zu kapieren oder sind sie es dank Bildungsreformen wirklich?","dämlich, sozi"
"Herr Zamperoni, ich denke doch, dass Trump die Gesellschaft zumindest noch weiter gespaltet hat - und zwar gewaltig! Und wenn er seit Monaten Unruhen anmahnt, besonders jetzt nach der Wahl, dann hat Trump sehr wohl die Zündschnur dafür angezündet. Ein Verhalten, das einem US-Präsidenten nicht entspricht, zumindest bis zu seiner Präsidentschaft!","alte, esel, gezündet"
"Überhaupt jemanden einzuladen, der auf Trump's Seite steht ist unverschämt ☝️","schämt, unverschämt"
Wir müssen vor allem endlich lernen unsere eigenen Interessen durchzusetzen und nicht politisch überemotionalisiert zu reagieren und auhören auf politische Leichtgewichte und Populisten wie linke und grüne zu hören. Glaubt eigentlich irgendjemand ernsthaft dass Russland sich irgendetwas von uns sagen lässt? So naiv kann man nicht wirklich sein. Russland wird sich die fehlenden Einnahmen anderweitig holen und das wird nicht auf legalen Wegen passieren und vor allem die Zivilbevölkerung treffen. Wir können nicht mal unsere eigenen Bundestags-Server beschützen und wir wollen uns ernsthaft mit Russland anlegen? Deutschland ist viel schwächer als viele es denken und politisch suggeriert wird. Wir müssen unsere geopolitischen Realitäten endlich erkennen und aufhören so zu tun als hätten wir irgendetwas substanzielles zu melden. Geld bedeutet nicht immer Macht.,"assi, linke, naiv, olle, ollen, populist"
"Grad erzählt die Frau dass ihr Krankheitsverlauf gar nicht so übel war und damals bei Stern Tv oder Lanz, nagelt mich nicht fest, sagte sie wie schlimm das alles war... ich finde die Dame sehr mysteriös.","krank, schlimm, übel"
"@USER, dazu kann ich nicht mehr viel sagen, oder? https://www.msn.com/de-de/nachrichten/politik/trump-erw%C3%A4gt-entlassung-von-us-seuchenexperte-fauci/ar-BB1aBAH2?OCID=ansmsnnews11","bah, seuche"
"gut dass er mal aufgefordert wurde, seinen Mund zu halten und nicht jedem ins Wort zu fallen.",alte
"Der soziale Frieden kann nur wieder hergestellt werden,wenn der Klimawandel nicht von der etablierten Politik dafür benutzt wird um noch mehr abzukassieren und um Energie, Kraftstoff noch mehr zu versteuern! Es trifft wieder insbesondere die Arbeitnehmer die schon genug Steuern und Abgaben zahlen und natürlich auch sozial Schwache und Rentner!","assi, kassieren, sozi"
George Weinberg war mit seinen politischen Parolen auf Plattitüden-Niveau und der Verteidigung von Trumps Lügen einfach nur peinlich.,"lüge, lügen, peinlich, plattitüden"
"Relativ wozu? Zur Klarstellung: ich halte viele Ihrer Punkte für völlig aus der Luft gegriffen ohne Kontext. Aber um sie zu beantworten: Momentan ist unsere Staatsverschuldung riesig - das liegt an Corona wo, wo wir im weltweiten Vergleich sehr gut abschneiden. Unsere Gesamtverschuldung ist natürlich sehr hoch, u.a. noch wegen des zweiten Weltkriegs und den Kosten der Wiedervereinigung, aber auch wegen notwendigen Investitionen und der Tatsache, dass wir seit Jahren völlig inkompetente Minister mit Infrastruktur und Militär betreuen, aber auch wegen der Weltwirtschaftskrisen. Unsere Krankenhäuser sind fast überall privatisiert. Die Leiharbeiter sind deshalb so viele, weil wir riesigen Konzernen erlauben Leiharbeiter (teils für Hungerlöhne) zu beschäftigen um profitabler planen zu können. Höchste Anzahl an Millionären u.a. deshalb weil wir eben nicht umverteilen, sondern lieber Milliardenkonzerne retten als beispielsweise die Kunst-, Musik- und Gastronomiegewerbe, in welchen noch mehr Menschen arbeiten als bei der Lufthansa und der Autoindustrie zusammen. Die Höhe der Diäten wird vom Parlament bestimmt - dort gibt es eine rechts-liberale Mehrheit durch Union, FDP und AfD. Das Rentenalter ist tatsächlich sehr hoch, weil wir auch länger arbeiten müssen um auf vernünftige Renten zu kommen, denn die Durchschnittslöhne sind zu niedrig. Woran liegt das? An den Arbeitgebern, die ihre Porsches finanzieren müssen. Höchste Sozialausgaben? Falsch: Dänemark ist höher, aber das ist gut so, da die auch gut versorgt sind. Und ich werde lieber 5mio Arbeitslose durchfüttern als auch nur einen verhungern zu lassen - das nennt sich Solidarität. Unsere Steuerbelastung ist nicht die höchste - das ist einfach falsch. Unsere Mieten sind mit denen im Europäischen Ausland allein kaum zu vergleichen. In Rom sind sie beispielsweise sehr ähnlich wie in Hamburg, aber die verdienen viel weniger. Von London brauchen wir kaum reden. Unsere Strompreise sind hoch wegen mangelhafter öffentlicher Förderung und zu geringem Ausbau erneuerbarer Energien. Die Anzahl illegaler Einwanderer (bzw. illegal Eingewanderter - Unterschied, denn die Einwanderer sind nicht illegal sondern die Methode der Einwanderung) ist kaum erfasst. Asyl suchen ist nicht illegal. Zuwachs ausländischer Facharbeiter wäre zwar durchaus vorteilhaft, aber wird er gebremst u.a. dadurch, dass wir Immigranten ihre Bildungsabschlüsse nicht anerkennen. Die Zahl der ausgeführten und nicht ausgeführten Terroranschläge ist eine völlig belanglose Zahl. Die der ausgeführten ist relevant, denn sie offenbart, dass wir im Gegensatz zB zu Syrien echt ganz gut da stehen. Die der nicht ausgeführten ist ja abhängig von der der als solche erkannten. Wenn die hoch ist, heißt das, dass unsere Polizei gut gearbeitet hat - trotz des latenten Rechtsextremismus in den eigenen Reihen. Und ja: rechtsextremer Terror ist in Deutschland der der am meisten Todesopfer fordert (zur Zeit). Die Altersarmut wäre geringer wenn der Mindestlohn höher und die Grundrente beschlossen wäre - beides blockt die Union. Kinderarmut wäre auch einfacher bekämpft, wenn es mehr Chancengleichheit gäbe - blockt die Union. TL;DR: man kann alle Ihrer Punkte umdrehen und sagen, dass der Grund dafür die Blockade des Sozialsystems durch die Neoliberale und Rechtskonservative Mehrheit im Bundestag ist. Alle Verbesserungen die is in den letzten Jahren hierzu gab, gingen auf die SPD zurück.","alte, alter, krank, kranke, opfer, rotz, sozi"
@USER kommt noch 😂😂,😂
Es ist doch eh die Industrie die Geld machen wollen die Politiker haben dann zu springen und bekommen auch Geld man hātte den Mann dort lassen sollen.Es ist nur ne Sache wo es sich um Geld dreht Ende der Geschichte,"olle, ollen"
"Alle die hier so böswillig kommentieren, denkt doch einfach mal an eure eigene Jugend. Was hat sich da besonders eingeprägt? Die Klassenfahrt an die Ostsee mit den Klassenkameraden, die Ferienreise wo ihr eine neue Freundschaften geschlossen habt, das Auslandssemester wo ihr die erste Liebe getroffen habt, der Abend wo ihr beim Tanz eure/n Frau / Mann kennengelernt habt. Erinnerungen die mit Lachen und einem Gefühl der Unbeschwertheit gefüllt sind. Das lässt sich durch nichts ersetzen! Und man sollte der Jugend zumindest zugestehen, das es schwer fällt darauf zu verzichten. Und natürlich ich das nicht so schlimm wie einen Menschen zu verlieren (ich hab selbst meinen Vater dieses Jahr verloren), aber es ist trotzdem unglaublich frustrierend.","kamerad, rotz, schlimm"
Wir werden dies nicht aufhalten.,alte
"Was sind das denn für Kommentare hier? Nawalny wurde in Russland vergiftet. Hätte man ihn wirklich dort lassen sollen? Dort, wo Oppositionelle grundsätzlich aus dem Weg geräumt werden? Das kann nicht Euer Ernst sein.","olle, ollen, vergiftet"
@USER Sozialismus ist in jeder Form verkehrt. Was haben wir in Deutschland? - höchste jährliche Staatsverschuldung - höchste Gesamtstaatverschuldung - höchste Anzahl von Leiharbeitern - höchste Anzahl von Aufstockern - höchste Anzahl von Millionären - höchstes Anzahl defizitärer Krankenhäuser und Pflegeeinrichtungen - höchste Diäten für Abgeordnete (höchste Steigerung seit Jahrzehnten) - höchstes Renteneintrittsalter - höchste Sozialausgaben - höchste Steuerbelastung für Arbeitnehmer - höchste Mieten und Strompreise - höchste Anzahl illegaler Einwanderer - niedrigster Zuwachs ausländerischer Facharbeiter - höchte Anzahl von Terroränschlägen ausgeführt und nicht ausgeführt - höchster Stand der Altersarmut - höchster Stand der Kinderarmut usw. usw. usw.,"alte, alter, krank, kranke, sozi"
"Absolut meine Meinung! Es fehlt die Grauzone, dieses 'Nicht extreme'. Diese brutale Polarisierung in Pro-Trump oder Contra-Trump ist enorm gefährlich. Und das sehen wir auch bei uns mit Corona. Es gibt kein 'dazwischen' mehr....","brut, brutal"
"Kein ausgefallener Abiball, keine fehlende Verabschiedung in der Grundschule, keine Weltreise kann die Gesundheit und das Leben ersetzen. Es ist im Moment schwierig für alle, alt oder jung spielt da keine Rolle. Aber alle Maßnahmen sind besser als krank auf der Intensivstation zu liegen.","krank, olle"
Der Nawalny hat vor ein paar Jahren die Usbeken als Kakerlaken bezeichnet. Somit ist der Herr Nawalny ein ausgewiesener Nazi. Nur mal so am Rande.,"ausgewiesen, nazi"
"Schauspielen kann er nicht. Und inzwischen meint er, Ahnung von Allem zu haben. Schlimm dieser Typ",schlimm
"@USER , wir haben verzichtet und das ist gut so. Auf dem Bauernhof meiner Eltern leben heute Polen, die von Stalin aus Galizien vertrieben worden sind. Und wir sind mit diesen polnischen Opfern des Weltkrieges gut befreundet.",opfer
Schnell viel Blödsinn reden...,"blöd, blödsinn"
"Da hat er wohl recht. Schon die Diskussion darüber, ob man ein so wichtiges Vorhaben stoppen sollte, ist einfach nur dumm",dumm
"In erster Linie hoffe ich sehr, dass der Familie Zamparoni kein Strick gedreht wird wegen des Berichtes. Ansonsten...., ich fürchte mich vor dem Ergebnis. Am besten schalte ich alle Medien ab 22.00 Uhr ab, obwohl... Na ja.... Gute Gesundheit.",alte
