comment_text,matches_string
Ich gönne es Trump wenn er gewinnen sollte. Immerhin macht er mit seinem Auftreten Mut und keine Angst wie es z. Z. in Deutschland geschieht. Jeden Tag die Horrormeldungen und die Betten im Krankenhaus zu sehen ist nicht gut für das Gemüt. Gerade in so einer schweren Zeit braucht man Zuversicht und Mut mit der Krankheit umzugehen und das macht er. Es muss ja weitergehen - man kann doch nicht alles zusperren.,"deutschland, kranke, krank, doch, angst, auft, kranken"
"@MEDIUM kann doch einfach kalkulieren lassen, wieviel Strom in Deutschland benötigt wird, wenn 5 Millionen Elektroautos im Land fahren und weitere 8 Millionen Wärme Pumpen für die Hausheizung hinzukommen. Dann wird man sehen, ob die erneuerbaren Energie jemals dafür ausreichen kann. Bitte keine Atomkraft aus Frankreich oder der Ukraine dazu rechnen.","deutschland, fahren, neuer, doch"
Oh doch. In Grönland entsteht z.B. neuer Lebensraum,"neuer, doch"
"@USER und eigentlich, ja eigentlich hätte sie gewonnen, wenn nicht das amerikanische Wahlsystem keinen eigentlichen Gewinner kennen würde!",gewinner
"Ich habe mal ne ganz einfache Frage, warum wird eigentlich überall von Belarus gesprochen? Wir sind doch noch in Deutschland und es ist Deutsches Fernsehn, warum nennt man es nicht Weißrussland?","deutschland, doch"
"Sehr viele regen sich auf - natürlich nicht alle. Da darf man schon ""wir"" sagen 😉",sag
"@USER Alles durchaus richtig, nur dass für ""mit Bedacht"" einfach bei vielen der Verstand offensichtlich nicht ausreicht.. Wurde ja leider in der letzten Zeig mehr als einmal deutlich 🤷‍♀️",letzte
Von Normalität sind wir noch meilenweit entfernt. Seit Monaten werden uns Zahlen um die Ohren gehauen. Aber soll das jetzt Monate oder Jahre so weitergehen? Übrigens ist es auch extrem schwierig geworden Termine in Arztpraxen zu kriegen. Betrifft GKV Versicherte!?,arzt
"@USER, ich habe Ihren Beitrag durchaus verstanden und Professor Jonas Schmidt-Chanasit sagt es vollkommen richtig: ""Die Viruslast verringert sich durch frische Luft, weil die Tröpfchenwolken, die sich beim Sprechen, Niesen oder auch einfach beim Atmen bilden, verdünnt werden"". Nur, weil sich die Viruslast verringert, heißt das aber noch lange nicht, dass die Ansteckungsgefahr gebannt ist, insbesondere nicht in Anbetracht der aktuell steigenden Zahlen. Ich gönne Ihnen und jedem Fußballfan das Fußballvergnügen von Herzen, doch allzu sorglos sollte man dabei nicht sein - auch nicht bei einem verhältnismäßig gutem Hygienekonzept.","doch, asi, sag"
"Mit unserer europäischen Betrachtungsweise kommen wir nicht weiter. Man wird mir Antiamerikanismus vorwefen, wenn ich die aktuelle Situation in den USA unter historischen Aspekten betrachte. Der derzeitige Präsident forciert einen gewachsenen Antagonismus. Amerika ist ein Land, in welches aus aller Damen und Herren Länder jene weißen Menschen eingewandert sind, die das Gefühl hatten, in ihren Herkunftsländern zu wenig Freiheiten zu haben. Das Freiheitsdenken des Individuums hatte von Beginn der Zuwanderung höhere Priorität als die Solidargemeinschaft. Das daraus resultierende Waffenrecht schuf ""den wilden Westen."" Die wirtschaftliche Entwicklung erfuhr eine große Dynamik, indem man den Ureinwohnern Land- Boden- und Naturschätze wegnahm. Man verdrängte sie in Reservate und nahm die Angebote von Sklavenhändlern gerne an, aus den europäischen Kolonien und freien Ländern Afrikas billige Arbeitskräfte ins Land zu holen. Dass diese Menschen völlig andere Lebensbedingungen vorfanden, dass sie unendliche Mühen hatten, ihren Lebensunterhalt zu sichern, liegt auf der Hand. Sie wurden maßlos diskriminiert und ausgebeutet, was sich bis zum heutigen Tag auswirkt. Je schwieriger die Zeiten und Probleme sich entwickeln, umso größer wird der Drang mancher Freiheitsstatuisten, die Gründe für die eigenen Missgeschicke bei ""wehrlosen Minderheiten"" zu suchen. Da kommt ein Taktgeber, wie wir ihn gerade erleben, gerade recht.","wilde, affe, sklaven, sklavenhändler, orc, wilden, afrikas, sklave, affen, losen, nahm, lose, tiere, halt"
"Diese Angst, die Politik vor Veränderungen schürt, ist nicht mehr zu ertragen.",angst
"Draußen ""deutlich weniger Ansteckungsgefahr""? Die Zahl der Neuinfektionen nehmen auch in Deutschland wieder stark zu. https://www.tagesspiegel.de/berlin/das-ist-ein-grund-zur-sorge-berlin-verzeichnet-hoechste-corona-inzidenz-aller-bundeslaender/26204550.html?fbclid=IwAR2Wx9SveCHg0FkuaVj1zczeiIIG5xLr02Lj_7MltKxiPiXFF2suxtv54Mo","infektionen, deutschland"
@USER ich habe lange gesucht. Aber sie haben recht. Das ist die Nachricht hinter der Nachricht. Da habe ich schon vergeblich nach gesucht. Da dürfen wir wieder irgendetwas hinnehmen und dann kommt sofort wieder so eine unsinnige Kampagne gegen das Impfen,"unsinn, unsinnig, unsinnige"
"Wir sollen alle Photovoltaik besitzen. Jetzt kommt die CO2-Steuer mit der die EEG-Umlage gesenkt werden soll. Also werden die, die etwas für die Umwelt tun bestraft, da Sie weniger Strom verbrauchen und somit weniger entlastet werden. Das ist Politik in Deutschland.","deutschland, olle, ollen"
"Bevor ich mir von jemanden das Leben erklären lasse, der glaubt man könne als Schüler ""streiken"", schaue ich lieber 1h Testbild😡",😡
@USER die sehen reichsbürger und andere die von 3 Polizisten (ohne Helm)den radikalen Mob vertrieben haben. Ob das gut ist?BILD dir deine Meinung.,"vertrieben, mob, reichsbürger, polizisten"
@MEDIUM ... Das hier illustriert es abschließend treffend: https://www.facebook.com/jochen.barthel.1/posts/10219617781336024?__cft__[0]=AZVQplk1Aw15NLl9kzDE9tcBPpxMye2Og_oXEcUOrEQ2qlMGEL0dnk1a8Ze7ywok99twii_EEy8KVD0TBsu7VAxX8HW70okᬻmU-64etlqBgFrE2dtmli2ZtrF7RZ8&__tn__=%2CO%2CP-R,facebook
"Sie hat Recht und die Kritik ist, mit Blick auf den Stand der Wissenschaft und den Stand der Politik, absolut angebracht. Es passiert nichts. Wir müssen die Gesetze ändern, damit sich die Unternehmen ändern. Von allein machen die das nämlich nur sehr sehr träge.",assi
"@USER Nazis sind Politiker, die Wahlen rückgängig machen","nazi, nazis"
"@USER...äh, Verzeihung! Fangen Sie doch einfach mal bei sich selbst, mit Ihren unnützen Motorrädern, an!",doch
"@MEDIUM Mir macht unsere Politik hier in Deutschland viel mehr Angst, als das Trump nochmals gewählt wird.","deutschland, angst"
@USER heute Abend 21:30 Uhr ist @MEDIUM angesagt ...😏,sag
Egal. Die FDP ist Ende nächsten Jahres sowieso Geschichte.,egal
"""Das ist doch Sozialismus""? 🙈 Sollen dann nur noch reiche Menschen in die Universitäten oder zum Arzt dürfen? Darauf läuft es doch dann hinaus.","olle, doch, ollen, sozia, arzt, sozi"
"Zur Vorbereitung der Impfung gehörte ja erst einmal, dass bekannt wird, wo die Impfstellen sein werden und ab wann ( nach Genehmigung) geimpft werden kann. Noch ist nicht alles geklärt, wenn man schon ins Auge fassen wolle ab Mitte Dezember loszulegen.",olle
"Ich muss wirklich sagen: ich fand es heute richtig interessant. Mir war die Sendung fast zu kurz. Gute Gäste und interessante Diskussionen, obwohl das Thema irgendwie schon ein wenig über ist...",sag
Ich frage mich warum wir uns selber in die Situation gebracht haben ..warum musste deutsche Organisationen Nawalny nach Deutschland holen ..das ist nicht unsere Angelegenheit..wir sind nicht die Weltpolizei ..diesen Konflikt hätte man vermeiden können,"deutschland, polizei"
Es geht nicht nur um die Bundesliga sondern um viele tausend kleine Vereine in Deutschland in vielen Sportarten die von ihren Zuschauereinnahmen abhängig sind.,"deutschland, nahm"
dann soll sie auch mal ihr Handy abgeben https://www.deutschlandfunk.de/kobaltabbau-im-kongo-der-hohe-preis-fuer-elektroautos-und.724.de.html?dram:article_id=454818,deutschland
"Für mich ist im Hinblick auf's Auto fahren eine Sache noch immer nicht verständlich. Bitte erklärt mir das mal als wäre ich 10 Jahre alt: Jahrelang wurden Menschen ""genötigt"" den Stromverbrauch zu reduzieren. Alle haben ihre Beleuchtungen in LED-Technik verändert, weil man hier Strom sparen kann. Elektrogeräte wurden in A+++ geändert, um Strom zu sparen. Es gab sogar vor Jahren mal eine Rücknahmeprämie für alte Elektrogeräte, wenn man ein A+++ Gerät gekauft hat. Und jetzt soll auf einmal das Auto, dass mit Strom fährt das Non-Plus-Ultra sein? Warum steckt man nicht einfach mal weitere Gelder in die Weiterentwicklung des Wasserstoff-Antriebs? Es gibt so viele Möglichkeiten. Man kann das Auto mit Verbrennermotor nicht in 10 Jahren ""abschaffen"", so viel ist sicher. Es wird auch in 10 Jahren noch Verbrennermotoren geben. Ja, es muss was passieren, ich denke, das haben inzwischen alle kapiert. Was? Dafür habe auch ich keine Antwort, ich bin kein Forscher oder Entwickler. Aber dafür sitzen irgendwo an entsprechenden Stellen Menschen, die für so etwas bezahlt werden. Teilweise auch von Steuergeldern. Dort muss mal angesetzt werden. Für mich persönlich ist das Elektro-Auto keine Lösung. Unser Stromnetz ""auf'm Dorf"" ist schon jetzt überlastet. Lt. Energieversorger bekomme ich auch keinen Anschluss für ein E-Auto an meinem Haus genehmigt. Mag' sein, dass es in der Stadt noch halbwegs geht, aber auf dem Land ist ein E-Auto keine Option.","assi, affe, fahren, alte, affen, abschaffen, nahm, auft"
"Es wird überall immer wieder viel zu lange diskutiert und Schuld hin und her geschoben. Was in Deutschland passiert ist auf jeden Fall wichtig, Europa ist auch wichtig. Aber es muss sich auch in allen anderen Ländern und Regionen weltweit etwas passieren und ändern, wenn man das weltweite Klima beeinflussen will.","assi, deutschland"
"@USER weil der Michel, die meisten Steuern hinter Belgien und Österreich zahlt, muss doch schlechtes Gewissen eingeredet werden, damit er noch mehr Steuern abdrücken muss","gerede, doch"
@USER der Weltklimarat erzählt viel wenn der Tag lang ist. Er hat die Aufgabe den menschengemachten Klimawandel zu untersuchen und nichts anderes liefert er. Über natürliche Ursachen des Klimawandels darf er gar nicht forschen und berichten. Lächerlich,lächerlich
"Womit mal wieder die Pro Biden Front in Überzahl ist. Ich bin kein Freund von Trump, jedoch mit solchen einseitigen Konstellationen bei den Gästen braucht man sich in so einer Sendung keiner Debatte stellen. Ich kenne den O-Ton jetzt schon.",doch
"ABBAU VON LITHIUM Ein unverzichtbarer Bestandteil von Akkus und Batterien für Handys und Laptops ist auf Grund seiner guten Speicherfähigkeit das Metall Lithium. Verwendet wird es aber nicht nur für die moderne Informationstechnologie sondern auch für die Batterien von Elektro-und Hybridfahrzeugen. Der bis dato steigende Durst nach dem Rohstoff hat geradezu einen Abbau-rush ausgelöst, der dem begehrten Stoff den Spitznamen „weißes Gold“ eingebracht hat. Auf dem Hochplateau, das sich die drei südamerikanischen Länder Chile, Argentinien und Bolivien teilen, lagern 85% der weltweiten Lithiumvorkommen – und zwar einfach zugänglich, in Salzseen unter offenem Himmel. Der Abbau von Lithium in einer der trockensten Gegenden der Welt, dem Gebiert der großen Seen im Nordwesten Argentiniens, wird dramatische Auswirkungen auf die Wasserreserven vor Ort haben. Zur Gewinnung von Lithium werden große Mengen von Wasser benötigt: Das Grundwasser in den Salzseen, welches einen sehr hohen Mineralanteil aufweist, wird in künstliche Becken gepumpt. Durch zahlreiche Verdunstungsschritte kommt es zu einer Erhöhung der Lithiumkonzentration in den Becken, so dass es dann entnommen und weiterverarbeitet werden kann. Die erhöhte Verdunstungsrate und der dadurch sinkende Grundwasserspiegel führen aber für die Menschen vor Ort und die fragilen Ökosysteme zu gravierenden Wasserproblemen.",fähig
Und wählen deshalb Biden nur um Trump zu verhindern 😅,wählen
"@USER Erstens, das dauert ja seine Zeit. Zweitens, dass Sie es nicht kennen heisst nicht dass es das nicht gibt, bzw. es Verwaltungsgerichte gibt die Entscheidungen trafen und treffen dass Durchregierungsentscheidungen halt verfassungswidrig sind.","verwaltungsgericht, halt"
"Schlimmste Russlandhetze war die Sendung. Stück für Stück überzieht man Nachbarn, Freunde und Verbündete Russland seit Jahren mit Unruhen , Sanktionen und inneren Einmischungen . Immer natürlich mit dem Argument Menschenrechte :(","rechte, hetze, schlimm"
"Meines Erachtens sollte Minister Spahn zurücktreten. denn im Hightec Land Deutschland werden Reagenzien und bestimmte Plastikteile knapp, die für Tests nötig sind - und das wäre nur e.i.n.e.r. von mehreren Gründen für einen Rücktritt. Ein Skandal (schon das ewige Nichtstun bzgl Fleischbetrieben war ein Skandal und die wochenlange Verharmlosung bis ca Mitte März wo D. riesen Glück hatte dass nicht etwa beim Karneval in Köln sondern nur im kleinen Heinsberg einer der ersten größeren Ausbrüche war u.s.w. ---)","deutschland, fleisch, skandal, enl"
@USER ich kenne aktuell kein derartiges Urteil des Verfassungsgerichts dass Ihre Aussagen stürzt. Von daher wieder nur viel heiße Luft!,sag
Wie ist das mit der Zwangsabgabe- Rundfunkbeitrag? Zahlt die doch direkt an die Schauspieler und Künstler aus! Dann ist sie sinnvoller eingesetzt!,"olle, doch, oller"
"@USER und wegen dem Umgang mit Assange, Snowden, Umsetzung der Todesstrafen, bewusster Inkaufnahme von getöteten Zivilisten (auch Kinder und Frauen darunter) durch Drohnen, Ausspionierung der Kanzlerin usw müsste die USA sanktioniert werden. 🤔","zivilisten, töte, nahm, tötet"
Entscheidung wurd doch korrigiert. Wo wird hier durchregiert? Zudem musste dann mit Ansage doch aufgelöst werden. Kein Entscheid vom Verfassungsgericht wie bereits erwähnt. Selbst die ganzen Vollidioten die nur geistigen Dünnschiss in die Welt schreien dürfen weiter plappern. Meinungsfreiheit. Also kann noch nix finden was den Eingangspost rechtfertigt!,"schreie, idiot, geistig, doch, dünnschiss, vollidiot, sag, idioten, schiss, vollidioten"
Lt. kürzlicher Veröffenung im Ärzteblatt übertragen Aerosole doch keine Viren. Warum findet das keine Berücksichtigung ?,"doch, bla"
"Candice verkörpert das Amerikabild mit dem ich aufgewachsen bin: demokratisch, tolerant, modern und über den Tellerrand hinausblicken. Weinberg dagegen strotzte nur so von populistischen und Gewalt verharmlosenden Argumenten.","rotzte, rotzt, losen, rotz, populist, lose"
@USER Sie meinen wahrscheinlich Risikofaktoren? Oder mutiere ich nach der Impfung zum adipösen rauchenden Alkoholiker?,"alkoholiker, pösen, tiere"
"Keiner sagt doch das Stadien ausverkauft sein sollen, aber in geringem Maße Zuschauer zuzulassen ist doch völlig okay!","olle, doch, ollen, sag, auft"
"@USER völlig richtig - und die Rücksicht, die wir auf einander nehmen, tut unserer Gesellschaft gut, auch wenn andere das wenig interessiert",esel
"@USER es wird viel ""gewollt"" (aber nur wenn es nicht einschränkt) https://www.morgenpost.de/politik/article213215847/Junge-Deutsche-wollen-nachhaltig-leben-tun-aber-wenig-dafuer.html","olle, ollen, halt"
"@USER Im Gegenteil, wenn man das Opfer rausfliegen lassen hat, ist das wohl beabsichtigt, dass wir uns hier die Köpfe heiß diskutieren und nach innen an alle politischen Oppositionellen passt auf sonst müsst ihr leiden. Es ist eine sehr effiziente Methode der Drohung. Mord im Verborgenen bekommt ja niemand mit.","politischen, opfer, mord, tiere"
@USER haben viele andere Krankheiten auch! Habe mich noch nie gegen Grippe impfen lassen. Gesunde Ernährung und ein gutes Immunsystem ist unser bester Schutz!,krank
"Die Deutsche Politik sollte endlich einsehen, dass man mit Sanktionen, Zurechtweisungen udnd Besserwisserei wenig oder gar nichts erreichen kann. Am besten helfen persönliche Gespräche und gemeinsame Projekte und Erlebnisse. Schröder sollte als Sonderbotschafter vermittelnd tätig werden und sich für ein gutes deutschrussisches Verhältnis einsetzen..",besserwisser
"@USER ja das sehen wir so, Krankenversicherung ist wohl gerade jetzt das größte Thema. Die meisten konservativen Amerikaner sagen, es liegt alles in der Eigenverantwortung eines jeden Menschen für diese Dinge vorzusorgen. Den betreuenden Staat a la Europa will man nicht. Ja und Militär hat in der Gesellschaft eine hohe Stellung... alles etwas anders als in Europa","kranke, krank, esel, sag, kranken"
"@MEDIUM Die Entwicklungen in den USA sind für uns alle evident, nicht nur für uns deutsche Bürger. Trump‘s Verhalten stärkt nicht nur in den USA die rechten Ränder, sondern auch bei uns. Deutschland/Europa muss aufpassen, nicht zu sehr in diesen Sog gezogen zu werden. Unsere Regierungen müssen sich klar gegen die Politik Trumps wenden, wenn es um die Zukunft der NATO und der UN geht. Trump steht für Rassismus, Klassenkampf, Frauenfeindlichkeit, Homophobie und Umweltverschmutzung. All das geht letztendlich auch mich an.","rechte, frauenfeindlich, assi, verschmutz, deutschland, rechten, feind, alten, alte, rassismus, homo, schmutz, letzte, homophob, halt"
"Jemand der seine Kohle mit um die Welt reißen macht sollte realistisch und etwas leiser sein. Auch wenn er rumreist um Missstände aufzuzeigen. Er sieht unsere immer noch auch schöne Welt. Viele nie oder in Zukunft nicht mehr. Was klein sehen uns gebracht hatte durften die Generationen vor uns erleben. Weltkriege und Ethnien die ausgerottet und fast ausgerottet wurden, weil die Menschen nicht wussten wie unterschiedlich und schön unsere Welt ist. Bei allen Änderungen die wir unternehme müssen.",unterschie
"Durch seine Vielflierei hat der schon so viel CO2 verursacht, dass er sich besser schämen sollte","häme, schäme, schämen"
"Da hat der Herr Zamperoni recht! Wenn man in Amerika wählt, geht das auch kaum anders, weil es da eben, wie Herr Zamperoni sagt, diese Grautöne nicht gibt! Es gibt schwarz oder weiß und der Wähler muss dann persönlich abschätzen, was ihm lieber ist... In Deutschland hat man diese Grautöne bei einer Wahl und deshalb versteht man die Denkweise der Amerikaner manchmal nicht, obwohl hier mittlerweile auch immer mehr in einer Schwarz/Weiß Denkweise gedacht wird und die Wähler sich zu radikalen angezogen fühlen!","deutschland, sag"
"Ich hoffe und wünsche mir, daß Joe Biden der neue Präsident wird, aber nicht weil Biden so stark ist, sondern weil ich eine 2 Amtszeit von Trump für unerträglich halte. Hat ein 300 Millionen Volk keine bessere Wahl als diese zwei? Weinberg passt genau in das Bild was Trump und Amerika zur Zeit abgibt.","erträglich, unerträglich, alte, halt"
wir können das klima nicht ändern. ... nur weiter versauen,sau
"Es glaubt doch niemand, wenn Putin Menschen vergiften wollte, das er es so fehlerhaft machen würde. Das würde kein Mensch erfahren,wenn er wirklich jemand verschwinden lassen will.Was mischt sich die Merkel schon wieder ein?","fahren, doch, vergiften, verschwinden"
Beim Thema Fußballfans und Corona finde ich als Gast Herrn Hallervorden komisch.,komisch
Du verweigerst die Realität das der PDS Milliarden beschlagnahmt wurden.,nahm
"Schade das man in der Sendung oft über andere Ärzte, Professoren und deren Meinung redet und manchmal auch ins lächerliche zieht. Warum hat man z.B. in der gestrigen Sendung Herrn Prof. Bhakdi nicht eingeladen? Hat man es überhaupt versucht? Der Name Dr. Wolfgang Wogard viel glaube ich noch nie in der Sendung. Aber sicherlich kennen Ihn viele unter den bisherigen Gästen....warum ladet man ihn nicht Mal in die Sendung ein?","lächerliche, lächerlich"
"Das Problem ist das Zwei-Parteien-System. Kaum Gestaltungsspielraum für Kompromisse und/oder frischen Wind. Es geht oftmals nur darum sich massiv von der anderen Seite zu unterscheiden. Das Zwei-Parteien-System trägt ebenfalls zur Spaltung bei, da es keine weitere Option gibt.",assi
Wir wollen Zölle auf Chinesisches Zement erheben?! Euer Ernst🥴 Die haben gerade ein Freihandelsabkommen mit 1/3 der Weltbevölkerung abgeschlossen. Die werden einfach nur lachen über unsere Zölle.,"olle, ollen"
@USER Blödsinn. Das hat etwas mit Anstand zu tun.,"dsinn, blöd, blödsinn, blödsinn."
"@USER hast du diese Problematik schon irgend in einer Diskussion gehört? Da bist du Kindefeind-Menschenfeind es gibt wissenschaftliche Erkenntnisse,dass der Verzicht auf ein Kind ökologisch für den Planeten nachhaltiger ist als alles andere ...auf Zukunft gesehen irgend wie logisch ,oder..??","feind, halt"
"Also bitte! Wer Angst, oder Bedenken gegen diese Impfung hat, lässt sich psychologisch nicht erklären...eher mit gesundem Menschenverstand! Eine richtige und gute Impfung benötigt mindestens 5 Jahre.... keine 5 Monate!",angst
"Genau wegen solchen Gästen in dieser Sendung schaue ich mir @MEDIUM nicht mehr an, eine Zumutung ist das.",zumutung
"@USER meine Güte, Google doch einfach mal selber. Ich hatte das in einer Doku gesehen.",doch
@USER wo habe ich dagegen geschossen? wo sind denn ihre Argumente?,geschossen
"Herr Spenner Sie haben mit Ihrer o.g. Aussage an und für sich völlig recht. Allerdings ist unser aktueller Wohlstand ein Produkt jahrzehntelanger Ignoranz auf die Folgen des Klimawandels. Wenn wir so weitermachen wie bisher, dann gibt es in Zukunft (spätestens ab 3 Grad mehr Erderwärmung) keinen sozialen Frieden, keine funktionierende Wirtschaft und auch keine Arbeitsplätze mehr. Der Weltklimarat (IPCC) hat errechnet, dass Deutschland nur noch ein Budget von ca. 5,5 Mrd. Tonnen CO² verbrauchen darf, damit wir das 1,5 Grad Ziel des Pariser Klimaschutzabkommens halten können. Das bedeutet bei einem aktuellen Jahresausstoß von rund 800 Mio Tonnen CO² für Deutschland: Ende 2026 müssen wir Klimaneutral sein... Bitte um Ihre konkreten Vorschläge wie wir dieses sehr ambitionierte Ziel noch schaffen können.","affe, deutschland, sau, alten, alte, sag, sozia, affen, ignoranz, penner, sozi, halt"
"Sicher wird jeder Impfwillige vor der Impfung unterschreiben müssen, dass Schadenersatz bei eventuellen Nebenwirkungen oder Folgeschäden durch die Impfung ausgeschlossen ist! Oder gibt es dafür auch schon Pläne für ein Hilfspaket?","pak, schaden"
"Warum könnte es nicht sein dass dieser giftanschlag nur damit benützt wird um Putin zu schwächen?des novitschok zeug muss ja nicht zwingend aus Russland kommen,zumal die Diskussion über Nord Stream 2 doch von Amerika gesteuert wird. Ich trau jedem alles zu!",doch
@USER Die nächste Eiszeit kommt. Derzeit leben wir in einer Zwischenwarmzeit. Durchaus seriöse Wissenschaftler halten ein schnelles Abreisen des Golfstroms für sehr wahrscheinlich.,"alten, alte, abreise, abreisen, halt"
Eigentlich hoffe ich ja das Trump noch einmal gewählt wird damit Deutschland und die EU sich endlich mal komplett von den USA abnabeln. Wir müssen als Europa selber sehen wo wir bleiben und wie man gerade gut feststellen kann ist die USA kein verlässlicher Partner mehr.,deutschland
"Bitte den mal fragen, warum Recycling-Kies nicht zum Bauen verwendet werden darf. Hintergrund: https://www.planet-wissen.de/technik/werkstoffe/beton_der_formbare_stein/beton-baustoff-100.html#Umwelteffekte ""Am Ende bleiben Recyclingsteine über. Diese müssen für den Hausbau mindestens einen Durchmesser von zwei Millimetern haben. Der Recyclingsand, der beim Schreddern übrig bleibt, darf in Gebäuden nicht verbaut werden. Er gilt als zu unrein und weniger belastbar als natürlicher Sand. Doch wie belastbar sind die Recyclingsteine? Recyclingsteine durchlaufen eine Qualitätsprüfung In einem Prüflabor müssen die Recycling-Steine ihre Qualität unter Beweis stellen. Für die Baustoffprüfung wird eine Probe der Steine in ihre Bestandteile zerlegt. Weil es dafür keine Maschine gibt, geschieht das per Hand. Die Sortierung zeigt, ob die zulässigen Grenzwerte für Fremdmaterialien eingehalten werden, oder ob zum Beispiel zu viel Glas, Ziegel oder Asphalt in der Mischung steckt. Dann wäre die Festigkeit gefährdet. Bei einem anderen Test kommt die komplette Gesteinsprobe in einen Siebturm. Er trennt die verschiedenen Steingrößen voneinander. Denn eine stabile Verbindung in der Betonmischung entsteht nur, wenn von jeder Größe ausreichend Steine vorhanden sind. Wie gut Recyclingbeton ist, hat die Baustoff-Expertin Angelika Mettke mehrfach prüfen lassen. Ihr Resümee: ""Recyclingbeton hat die gleiche Qualität wie normaler Beton."" Er sei absolut gleichwertig. ""Da gibt es überhaupt keine Einschränkung"", urteilt die Professorin der Brandenburgischen Technischen Universität Cottbus-Senftenberg.""","messer, doch, alten, alte, tenberg, halt"
Ich lebe nicht in Amerika deswegen ist meine Meinung dazu nicht wirksam . Und nicht meine Erlaubnis was zu sagen.,sag
"Pest oder Cholera. Biden ist halt sympathischer. Bin froh, wenn die Trumpshow vorbei ist","sympathisch, pest, halt"
"Sorry, welchen Mut macht der denn? Mit denjenigen die keine Krankenversicherung und kein Geld für eine Behandlung haben, das ihr Tod zügig kommt? So kann man es auch sehen. Vielleicht betet er Covid 19 auch weg aber in erster Linie betet er für seine Kohle wohlgemerkt sein Geld.","kranke, krank, kranken"
"@MEDIUM Da diese Wahl weltweit Beachtung findet, eine Wahlbeteiligung auf Rekordniveau erreicht und weltweit Auswirkungen haben wird, blicke ich gespannt nach Amerika. Dass nach der Wahl Unruhen zu erwarten sind, im Vorfeld Geschäfte gesichert werden müssen, Trump genau diese Unruhen immer wieder befeuert, macht diese Wahl so einmalig. Amerikanische Demokratie, in der einem Gewinner gratuliert wird und der Verlierer unter den Gratulanten ist und seine Niederlage anerkennt, war ganz offensichtlich gestern. Wann genau gab es schonmal eine Wahl, die dermaßen in die tägliche Berichterstattung kam und auf deren Ausgang so viele geblickt haben. Traurige Entwicklung im Mutterland der Demokratie. 😔","😔, gewinner, verlierer, mutter"
"@USER die jungen Leute, die ich kenne, überreißen das schon. Allerdings haben sie in der Politik keinerlei Lobby, kein Wunder, sie dürfen ja nicht wählen, da wird dann lieber Politik für die älteren gemacht. Da wird dann eher ein bisschen Bashing betrieben wahlweise als Partyvolk oder Virenschleudern.","wählen, leute"
"Nicht zuletzt: Etliche ergänzende, s e h r interessante, allgemein wissenswerte Fatken rund um Trump und Politik / Wirtschaft in den USA ... sind zurzeit in einigen Postings der letzten Tage & Wochen auf meiner Facebook-Seite zu finden - - (einige zwar in Englisch, aber dazu gibt's notfalls ja z.B. die automatische Übersetzungsfunktion von FB, falls sie jemand benötigen sollte; davon also nicht abschrecken lassen) ...","facebook-seite, facebook, letzte"
Die Clinton lag auch damals in den Umfragen vorne und war schon im Weißen Haus am Kaffee Kochen wenn man damals die Medien verfolgt hat.,"affe, medien"
"@USER - hab ich doch schon vorher gesagt und gar nicht eingeschaltet. Bei diesem Typ kommt nichts anderes raus, der ist doch nur das Echo von tRump.","doch, alte, sag, halt"
"@MEDIUM, ich habe nicht den Titel der Sendung mit Nazi-Propaganda verglichen, sondern die einseitig eingeladenen Meinungen. Der Sendungstitel spricht für sich.","nazi, nazi-propaganda, propaganda"
"Trump gewinnt, da kann der schwafeln, was er will 🧐",schwafel
Ich glaube der Palmer nimmt sich viel zu wichtig. Weil er sich impfen lässt sollen ihn andere folgen? Was ist wenn er morgen von einer Brücke springt.......🤔😏,"olle, ollen"
"Dear citizens of the USA, please save the world from hate and vote for Biden Harris. Or do you really want to live in a fascist theocracy? https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DiKuc4eaFDNY%26feature%3Dshare&h=AT0F9qLKsbe8AkvTgjgWTFkzUJk7VBdglC4R44ysJYldwi3fLWLyb47Kz2rHl37w1F3mOccMVCASsxJS13XNfdMaMDIHH99M9swCBGLagE-Gkkj7dDnoJoJBhGFPd_sJojQUeScv7EgkhWUrsmYL&s=1","wtf, facebook, youtube"
nun wir leben in einem coronaparadoxum. wir haben vieles richtig gemacht und wohl deshalb auch so wenig probleme aber weil das eben so ist fangen immer mehr leute an zu denken es wurde übertrieben oder noch schlimmer wir wurden angelogen. ich sage warten wir jetzt erstmal die kalten jahreszeiten ab und hoffen wir dass es bleibt wie es ist und wir dann immer noch so wenige schwere fälle oder todesfälle haben werden,"angelogen, alten, alte, sag, schlimmer, leute, gelogen., schlimm, gelogen"
"@USER Sie würden auch Hillary wählen, schon klar...",wählen
"und mit einer gewissen Altpartei im Gleichschritt. Versucht doch mal Dinge länger zu benutzen oder etwas zu reparieren und auf etwas zu verzichten, kleiner Schritt aber ein erster","doch, altpartei"
".....mit Einschränkungen, die bei uns nicht möglich sind. Bestes Beispiel, die Corona App, das Gute fwurde durch übertriebenen Datenschutz verhindert, abgesehen davon, dass die Corona Leugner, Impfgegner etc. eine zu große Plattform erhalten haben und letztlich unsere Politiker sich eher profilieren wollen. z.B. Lindner.","olle, ollen, alten, alte, halt"
